3215	3159	3041	3216	3479	3731	3929	3874	4060	3824	4117	4005	3891	4366	4047	3193	3101	2716	3656	3628	3527	3723	3583
3072	3217	3182	3105	3460	3467	3643	3996	4045	4084	4084	4276	4199	4040	4590	4397	3372	3209	3013	3791	3959	3794	4304
3179	3202	3338	3208	3097	3436	3521	3691	4231	4119	4274	4223	4468	4305	4064	4801	4577	3489	3504	3131	3986	4202	4684
2914	3113	3112	3295	3411	3112	3559	3595	3898	4070	4317	4349	4534	4492	4471	4332	5008	4812	3680	3723	3228	4281	5081
3161	3038	3097	3197	3336	3331	3177	3685	3718	3892	4366	4478	4709	4708	4748	4611	4483	5213	5222	3940	3991	3533	5293
3073	3060	2959	3075	3210	3464	3347	3361	3539	3658	4106	4393	4703	4637	4683	4922	4899	4851	5605	5183	4148	4363	4264
3620	3156	3167	2856	3147	3258	3495	3420	3236	3605	3946	4260	4810	4706	4727	4964	5091	4986	5029	5685	5662	4557	4972
3323	3384	3097	2948	2883	3066	3365	3450	3404	3283	3809	3939	4373	4903	4768	5116	5109	5175	5445	5167	6234	5913	5526
2915	3172	3467	3035	2913	2913	3133	3198	3451	3447	3539	3779	4206	4327	4937	5043	5147	5221	5616	5468	5486	6482	7140
2740	2749	3092	3255	2950	3006	2810	3030	3233	3404	3461	3433	4019	4146	4511	4977	5227	5380	5422	5633	5612	5887	7732
2515	2578	2645	2907	3182	2814	2888	2870	3158	3130	3444	3410	3579	3951	4091	4537	5094	5205	5632	5449	5927	6225	6938
2331	2270	2534	2471	2830	3055	2804	2843	2735	2868	3152	3413	3558	3424	3939	4267	4612	5108	5602	5490	5669	6320	7174
2285	2145	2234	2329	2471	2684	2922	2689	2650	2549	2843	3038	3492	3410	3405	3826	4201	4689	5369	5307	5636	5912	7372
1882	2032	2053	2036	2165	2255	2617	2808	2538	2592	2543	2861	2978	3185	3335	3306	3910	4297	4798	5191	5574	5933	7023
1608	1722	1852	1898	1870	2061	2176	2414	2775	2364	2517	2594	2832	2974	3155	3288	3262	3818	4317	4435	5135	5476	6762
1431	1360	1656	1714	1722	1807	1917	2071	2225	2422	2309	2280	2401	2557	2765	3030	3049	3192	3736	4114	4497	5044	6302
1287	1231	1337	1386	1542	1543	1596	1781	1878	1981	2324	2159	2283	2201	2432	2732	2892	3016	3127	3470	4003	4478	5741
1067	1065	1133	1098	1194	1434	1394	1492	1619	1609	1849	2021	2040	2009	1972	2319	2461	2806	2979	2866	3486	3818	5022
893	888	966	941	941	1132	1181	1187	1352	1364	1490	1687	2040	1794	1784	1831	2099	2279	2646	2555	2674	3261	4256
698	712	763	803	809	835	938	979	1073	1137	1237	1353	1586	1693	1468	1652	1703	1933	2162	2323	2499	2487	3579
554	584	652	648	685	652	657	783	869	820	977	1095	1193	1283	1476	1461	1440	1506	1706	1786	2046	2232	2746
428	437	495	492	513	579	525	640	626	696	801	780	909	934	1049	1342	1258	1251	1316	1417	1655	1860	2317
299	311	425	425	402	425	433	442	423	502	576	658	716	803	773	976	1156	1009	1044	1078	1275	1415	1955
233	232	262	319	296	324	336	382	316	386	413	504	549	544	598	676	789	935	926	920	870	1072	1464
151	164	171	184	244	225	259	272	270	305	319	323	376	392	451	497	550	668	785	681	734	763	1032
80	102	114	119	146	172	185	199	204	199	208	245	250	296	322	355	416	431	568	635	546	583	716
52	67	71	79	103	101	146	155	147	176	150	137	198	196	239	244	287	336	351	440	459	453	531
50	33	43	42	55	70	73	82	114	100	99	137	135	115	142	184	175	211	277	277	316	394	413
36	21	33	40	45	42	54	58	71	72	82	88	85	91	74	106	128	131	171	179	202	257	397
81	66	68	82	53	73	77	94	87	88	161	169	176	161	186	196	211	252	261	278	321	407	536
