325856	315144	272045	252559	251873	233089	228000	237912	251569	234264	230536	248476	243994	238376	223999	226512	219645	197831	178959	165171	149924	139860	132827
330941	324460	313759	270723	251041	249898	231327	226204	236095	249933	232721	229086	247264	242964	237706	222958	226688	219404	198039	179230	164656	149750	140333
335555	329819	324102	313286	269990	250392	249072	230495	225597	235576	249449	232382	228725	246866	242720	237209	222948	226338	219577	198539	178749	164405	150374
355177	335280	328880	324004	312728	269433	249901	248401	229986	225241	235138	249085	231999	228552	246834	242395	237100	222509	226386	220279	198165	178744	164384
368619	354255	335048	327988	323528	312233	268797	249158	247792	229708	224984	234627	248647	231544	228345	246535	242166	236282	222222	226714	219757	198038	178309
378213	367883	353497	334891	326905	323077	311489	267990	248565	247364	229220	224610	234127	248140	231223	227892	246239	241277	235629	222099	226081	219728	197283
382993	377159	367231	352725	334622	325848	322503	310507	267374	248389	246949	228825	224287	233572	247690	230752	227539	244819	240807	235443	221701	226034	218848
382666	381745	376080	366522	351685	334353	324751	321810	309806	267157	248207	246567	228500	223935	233190	247162	230402	226632	244491	240804	235340	221697	225157
374204	381846	380502	374981	365767	350771	333739	323222	321225	309563	266912	247832	246238	228131	223624	232622	246942	229667	226475	244369	240778	235422	221051
359132	373291	380900	379174	373590	364830	349441	332762	321965	321127	309280	266584	247646	245815	227855	223304	232453	246212	229507	226398	244781	240876	234882
340229	357051	372266	379744	377701	372048	363198	347241	332008	321154	320948	308878	266340	247426	245307	227392	223112	231903	246120	229317	227041	244936	240438
330201	339129	354927	371315	378613	375968	370003	361254	346282	332302	320534	320921	308737	266129	247230	245063	227324	222818	231850	246013	230099	227247	244629
324597	329134	338004	352982	370619	377792	374820	368877	361289	346767	333112	320574	321406	309058	266312	247305	245113	227078	222868	231970	247136	230366	227031
324369	322933	327906	337127	351098	369834	376889	373426	368265	361660	346688	333652	320239	321775	309150	266218	247399	244826	227039	222927	233154	247355	230251
331873	322862	320986	326664	335878	348882	368527	375310	371992	367621	361466	346134	333756	319625	321827	308968	266193	246950	244703	227015	223631	233235	247314
347438	330345	320882	319007	324839	334186	345913	366406	373843	371012	366782	360855	345403	333669	318795	321636	308660	265483	246637	244320	227927	223535	232910
376068	344947	328895	319285	317207	323254	332535	343189	365287	373430	370304	365945	360567	344785	333760	318192	321306	307899	265132	246046	245504	227550	223230
402587	374225	343113	328619	318671	316387	322959	332345	342247	366078	373966	370377	366070	361033	345036	334432	318546	321383	308128	265182	247953	245086	227514
426157	401279	372192	341903	328470	318285	316205	323332	333007	342223	367250	375416	371330	366975	362409	345833	335739	320421	324261	311324	269121	249023	247446
434771	425722	400372	371405	340817	328994	319697	318083	325993	335586	343076	370344	378115	373307	368466	364625	348496	339285	326480	330960	316821	271234	252480
419873	435005	426182	401174	370871	340392	331586	322783	322479	329913	338801	346726	375318	382141	376028	372187	368679	352851	346393	332226	334322	317950	273196
402418	421632	435402	428349	401606	370583	343044	334983	326335	324622	331934	343410	350493	378434	385987	380296	376265	373324	360210	352413	335285	335197	319685
